Date,Close,prev_close,daily_return_pct
2013-06-19,270.0,280.0,-3.57
2013-06-20,270.0,270.0,0.0
2013-06-21,261.0,270.0,-3.33
2013-06-24,250.0,261.0,-4.21
2013-06-25,250.0,250.0,0.0
2013-06-26,260.0,250.0,4.0
2013-06-27,262.0,260.0,0.77
2013-06-28,270.0,262.0,3.05
2013-07-01,275.0,270.0,1.85
2013-07-02,270.0,275.0,-1.82
2013-07-08,265.0,270.0,-1.85
2013-07-09,268.0,265.0,1.13
2013-07-10,280.0,268.0,4.48
2013-07-11,279.4,280.0,-0.21
2013-07-12,274.5,279.4,-1.75
2013-07-15,266.0,274.5,-3.1
2013-07-16,268.5,266.0,0.94
2013-07-17,273.0,268.5,1.68
2013-07-18,276.0,273.0,1.1
2013-07-19,300.0,276.0,8.7
2013-07-22,300.0,300.0,0.0
2013-07-23,325.0,300.0,8.33
2013-07-24,320.5,325.0,-1.38
2013-07-25,320.0,320.5,-0.16
2013-07-29,326.0,320.0,1.88
2013-07-31,336.0,326.0,3.07
2013-08-01,354.25,336.0,5.43
2013-08-02,366.0,354.25,3.32
2013-08-05,364.67,366.0,-0.36
2013-08-07,344.5,364.67,-5.53
2013-08-08,349.6,344.5,1.48
2013-08-13,350.0,349.6,0.11
2013-08-15,345.0,350.0,-1.43
2013-08-16,330.0,345.0,-4.35
2013-08-19,324.0,330.0,-1.82
2013-08-21,301.5,324.0,-6.94
2013-08-22,310.0,301.5,2.82
2013-08-26,310.0,310.0,0.0
2013-08-30,315.0,310.0,1.61
2013-09-03,321.0,315.0,1.9
2013-09-04,320.25,321.0,-0.23
2013-09-09,370.0,320.25,15.53
2013-09-10,373.0,370.0,0.81
2013-09-11,369.99,373.0,-0.81
2013-09-12,352.0,369.99,-4.86
2013-09-13,348.89,352.0,-0.88
2013-09-16,350.0,348.89,0.32
2013-09-17,360.0,350.0,2.86
2013-09-18,356.45,360.0,-0.99
2013-09-19,359.0,356.45,0.72
2013-09-20,365.41,359.0,1.79
2013-09-23,380.0,365.41,3.99
2013-09-24,450.0,380.0,18.42
2013-09-25,475.24,450.0,5.61
2013-09-26,514.0,475.24,8.16
2013-09-27,533.0,514.0,3.7
2013-09-30,533.0,533.0,0.0
2013-10-01,533.0,533.0,0.0
